location_key,street,city_key
3qveqdnrlcarxspyfi3j,2067 shinn street,8irqzy6718u97525t887
u4y74au0gklpicpfhye2,3375 elm drive,sepopbv8rbkf332685r3
g09gexcn6ddzp8avww24,1885 chenoweth drive,yn9xk20gorf1ml0n832u
18sp349or898478pmo13,539 reppert coal road,3sidoox1q7qgcgambiql
ovm8tm9m726aecjwsivj,1075 Benson Street,6xeoeng8pk3l43dufmzb
t7dzb211aawhq8qbxovi,4704 Garafraxa-St ,n3yxqcfjqvtkok9gyk4s
xhmde0xbn5f72g8v43gx,4869 Bellwood Acres-Rd,20m07g6u51jjzgfhypff
fykkd5f3gnv7rg0e37fx,3295 Old Spallumcheen Rd,aldwujp7jr4idnkbuhvi
qeqr2flqwnwr77uabyz2,1806 Galts Ave,c01mju1bf8dn7zw955pl
no3yly5oiouy229qugo3,392 Haxforth Drive,43g7p8x9n0xpwl9z83u3
